match no,runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
111,68,1,128,88,5,1,77.27,2,Zimbabwe,Harare,28-Jul-13
112,0,0,-,-,-,-,-,2,Zimbabwe,Bulawayo,01-Aug-13
113,0,0,-,-,-,-,-,2,Zimbabwe,Bulawayo,03-Aug-13
114,61,0,121,85,6,0,71.76,2,Australia,Pune,13-Oct-13
115,100,1,82,52,8,7,192.3,2,Australia,Jaipur,16-Oct-13
116,68,0,121,73,9,0,93.15,1,Australia,Mohali,19-Oct-13
117,0,0,-,-,-,-,-,2,Australia,Ranchi,23-Oct-13
118,115,1,104,66,18,1,174.24,2,Australia,Nagpur,30-Oct-13
119,0,0,4,3,0,0,0,1,Australia,Bengaluru,02-Nov-13
120,86,0,120,84,9,2,102.38,2,West Indies,Kochi,21-Nov-13
121,99,0,159,100,9,0,99,1,West Indies,Visakhapatnam,24-Nov-13
122,19,0,19,18,3,0,105.55,2,West Indies,Kanpur,27-Nov-13
123,31,0,41,35,5,0,88.57,2,South Africa,Johannesburg,05-Dec-13
124,0,0,7,5,0,0,0,2,South Africa,Durban,08-Dec-13
125,0,0,-,-,-,-,-,-,South Africa,Centurion,11-Dec-13
126,123,0,179,111,11,2,110.81,2,New Zealand,Napier,19-Jan-14
127,78,0,88,65,7,2,120,2,New Zealand,Hamilton,22-Jan-14
128,6,0,27,20,1,0,30,2,New Zealand,Auckland,25-Jan-14
129,2,0,14,10,0,0,20,1,New Zealand,Hamilton,28-Jan-14
130,82,0,129,78,7,3,105.12,2,New Zealand,Wellington,31-Jan-14
131,136,0,157,122,16,2,111.47,2,Bangladesh,Fatullah,26-Feb-14
132,48,0,66,51,4,1,94.11,1,Sri Lanka,Fatullah,28-Feb-14
133,5,0,29,11,0,0,45.45,1,Pakistan,Dhaka,02-Mar-14
134,0,0,-,-,-,-,-,2,Afghanistan,Dhaka,05-Mar-14
135,0,0,1,3,0,0,0,1,England,Cardiff,27-Aug-14
136,40,0,67,50,2,1,80,2,England,Nottingham,30-Aug-14
137,1,1,9,3,0,0,33.33,2,England,Birmingham,02-Sep-14
138,13,0,25,21,2,0,61.9,2,England,Leeds,05-Sep-14
139,2,0,7,5,0,0,40,2,West Indies,Kochi,08-Oct-14
140,62,0,124,78,5,0,79.48,1,West Indies,Delhi,11-Oct-14
141,127,0,164,114,13,3,111.4,1,West Indies,Dharamsala,17-Oct-14
142,22,0,34,21,2,0,104.76,1,Sri Lanka,Cuttack,02-Nov-14
143,49,0,-,44,2,2,111.36,2,Sri Lanka,Ahmedabad,06-Nov-14
144,53,0,-,61,4,1,86.88,2,Sri Lanka,Hyderabad (Deccan),09-Nov-14
145,66,0,109,64,6,0,103.12,1,Sri Lanka,Kolkata,13-Nov-14
146,139,1,192,126,12,3,110.31,2,Sri Lanka,Ranchi,16-Nov-14
147,9,0,24,16,0,0,56.25,1,Australia,Melbourne,18-Jan-15
148,4,0,13,8,0,0,50,1,England,Brisbane,20-Jan-15
149,3,1,8,9,0,0,33.33,1,Australia,Sydney,26-Jan-15
150,8,0,26,19,0,0,42.1,1,England,Perth,30-Jan-15
151,107,0,168,126,8,0,84.92,1,Pakistan,Adelaide,15-Feb-15
152,46,0,106,60,3,0,76.66,1,South Africa,Melbourne,22-Feb-15
153,33,1,49,41,5,0,80.48,2,U.A.E.,Perth,28-Feb-15
154,33,0,51,36,5,0,91.66,2,West Indies,Perth,06-Mar-15
155,44,1,64,42,4,1,104.76,2,Ireland,Hamilton,10-Mar-15
156,38,0,71,48,4,0,79.16,2,Zimbabwe,Auckland,14-Mar-15
157,3,0,6,8,0,0,37.5,1,Bangladesh,Melbourne,19-Mar-15
158,1,0,11,13,0,0,7.69,2,Australia,Sydney,26-Mar-15
159,1,0,9,4,0,0,25,2,Bangladesh,Dhaka,18-Jun-15
160,23,0,57,27,3,1,85.18,1,Bangladesh,Dhaka,21-Jun-15
161,25,0,55,35,1,0,71.42,1,Bangladesh,Dhaka,24-Jun-15
162,11,0,29,18,0,0,61.11,2,South Africa,Kanpur,11-Oct-15
163,12,0,24,18,0,0,66.66,1,South Africa,Indore,14-Oct-15
164,77,0,155,99,5,0,77.77,2,South Africa,Rajkot,18-Oct-15
165,138,0,202,140,6,5,98.57,1,South Africa,Chennai,22-Oct-15
166,7,0,11,6,0,1,116.66,2,South Africa,Mumbai,25-Oct-15
167,91,0,148,97,9,1,93.81,1,Australia,Perth,12-Jan-16
168,59,0,84,67,4,0,88.05,1,Australia,Brisbane,15-Jan-16
169,117,0,174,117,7,2,100,1,Australia,Melbourne,17-Jan-16
170,106,0,131,92,11,1,115.21,2,Australia,Canberra,20-Jan-16
171,8,0,11,11,1,0,72.72,2,Australia,Sydney,23-Jan-16
172,85,1,109,81,9,1,104.93,2,New Zealand,Dharamsala,16-Oct-16
173,9,0,18,13,1,0,69.23,2,New Zealand,Delhi,20-Oct-16
174,154,1,202,134,16,1,114.92,2,New Zealand,Mohali,23-Oct-16
175,45,0,64,51,2,1,88.23,2,New Zealand,Ranchi,26-Oct-16
176,65,0,152,76,2,1,85.52,1,New Zealand,Visakhapatnam,29-Oct-16
177,122,0,147,105,8,5,116.19,2,England,Pune,15-Jan-17
178,8,0,6,5,2,0,160,1,England,Cuttack,19-Jan-17
179,55,0,81,63,8,0,87.3,2,England,Kolkata,22-Jan-17
180,81,1,108,68,6,3,119.11,1,Pakistan,Birmingham,04-Jun-17
